"SEXEQ" "AGER" "FAMIQ" "RELAT" "PCSPQ" "IMPNBS" "REJETS" "OPGNB" "MOYRV" "TAVEP" "ENDET" "GAGET" "GAGEC" "GAGEM" "KVUNB" "QSMOY" "QCRED" "DMVTP" "BOPPN" "FACAN" "LGAGT" "VIENB" "VIEMT" "UEMNB" "UEMMTS" "XLGNB" "XLGMT" "YLVNB" "YLVMT" "NBELTS" "MTELTS" "NBCATS" "MTCATS" "NBBECS" "MTBECS" "ROCNB" "NTCAS" "NPTAG" "ITAVC" "HAVEF" "JNBJD" "CARVP"
"148009" "Shom" 51 "Fmar" 238 "Pcad" 0 0 0 115 701939 4 119216 0 119216 2 35938 114 11 49 206016 0 1 152530 4 701939 2 520145 2 181794 0 0 0 0 0 0 14 2 0 1303700 556967 1 "Coui"
"552427" "Shom" 58 "Fmar" 139 "Pcad" 0 0 0 40 3402 0 0 0 0 1 1336 40 14 2 3394 0 0 0 1 3402 0 0 1 3402 0 0 0 0 0 0 0 1 0 122745 0 0 "Coui"
"556005" "Shom" 27 "Fcel" 99 "Psan" 0 0 0 17 76321 0 0 0 0 1 12221 17 11 23 0 0 0 0 3 76321 1 46312 2 30009 0 0 0 0 0 0 14 2 0 83224 0 0 "Coui"
"556686" "Shom" 49 "Fsep" 89 "Pemp" 0 0 0 374 473350 0 209062 37859 171203 1 21187 208 11 49 0 0 1 21423 5 473350 3 399999 2 73351 0 0 0 0 0 0 11 3 1 494773 21423 15 "Coui"
"642680" "Shom" 64 "Fmar" 216 "Pcad" 0 0 5 24 78462 0 0 0 0 1 7154 24 11 67 0 0 0 0 4 78462 1 34820 2 9803 1 33839 0 0 0 0 27 1 0 81218 0 3 "Coui"
"643508" "Shom" 38 "Fcel" 188 "Pemp" 0 0 2 26 0 5 28823 28823 0 1 7122 26 14 36 42649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 2 0 14706 0 13 "Coui"
"808224" "Sfem" 46 "Fmar" 135 "Pcad" 0 0 2 40 96856 0 0 0 0 2 6531 24 11 51 0 0 0 0 2 96856 1 38775 1 58081 0 0 0 0 0 0 27 3 0 105333 0 35 "Coui"
"941007" "Shom" 45 "Fmar" 393 "Pouv" 0 0 1 55 266391 0 0 0 0 1 83717 38 11 39 20500 0 0 0 2 266391 2 266391 0 0 0 0 0 0 0 0 15 2 0 310878 1452 0 "Coui"
"981681" "Shom" 38 "Fcel" 63 "Pcad" 0 0 1 32 9597 11 1085892 2190 235100 1 3524 32 18 15 0 848602 2 98154 3 9597 2 9032 1 565 0 0 0 0 0 0 NA 0 0 158955 149358 31 "Coui"
"1231602" "Shom" 60 "Fmar" 321 "Pcad" 0 0 2 47 154268 0 1277 1277 0 1 9994 44 11 80 0 0 0 0 4 154268 1 20246 2 79542 1 54480 0 0 0 0 11 1 0 174968 20200 6 "Coui"
"1248922" "Shom" 34 "Fcel" 362 "Pemp" 0 0 2 32 48931 20 518657 9699 105008 1 9201 32 11 90 0 403950 0 0 2 48931 2 48931 0 0 0 0 0 0 0 0 40 2 0 48931 0 4 "Coui"
"1252395" "Shom" 56 "Fmar" 187 "Pint" 0 0 10 66 222748 0 0 0 0 2 11744 66 11 91 0 0 1 97531 4 222748 2 106657 2 116091 0 0 0 0 0 0 3 2 0 406994 97531 0 "Coui"
"1343806" "Shom" 49 "Fmar" 209 "Pcad" 0 0 2 91 318781 8 557171 21435 0 1 54858 91 11 37 125672 535736 2 279999 3 318781 2 287229 1 31552 0 0 0 0 0 0 4 2 0 881133 500410 0 "Coui"
"1544241" "Sfem" 61 "Fsep" 185 "Psan" 0 0 2 15 219959 0 2153 2153 0 1 6293 14 11 28 0 0 2 50524 4 219959 2 94594 0 0 2 125365 0 0 0 0 12 2 0 591101 369777 4 "Coui"
"1740892" "Sfem" 41 "Fdiv" 268 "Psan" 0 0 7 54 19673 0 0 0 0 2 19467 52 11 22 132295 0 13 2947037 3 19673 1 5300 2 14373 0 0 0 0 0 0 0 1 0 3530191 3505061 4 "Coui"
"1970765" "Shom" 50 "Fmar" 94 "Pcad" 0 0 13 243 452580 2 51059 0 51059 2 39226 243 11 88 0 0 1 135564 4 452580 1 2320 2 421972 1 28288 0 0 0 0 0 1 0 1236029 700685 8 "Coui"
"2647067" "Shom" 43 "Fcel" 85 "Part" 0 0 1 22 29483 12 83808 0 83808 1 4340 22 11 41 84000 0 0 0 1 29483 0 0 1 29483 0 0 0 0 0 0 12 1 0 42542 0 0 "Coui"
"2849823" "Shom" 26 "Fcel" 75 "Psan" 0 0 0 41 28172 8 249605 0 0 2 13329 41 11 48 0 249605 0 0 2 28172 2 28172 0 0 0 0 0 0 0 0 38 3 0 55618 0 0 "Coui"
"3258308" "Shom" 52 "Fmar" 38 "Pcad" 0 0 3 53 52913 6 271749 0 271749 2 6333 53 11 72 0 0 0 0 3 52913 1 2216 2 50697 0 0 0 0 0 0 29 4 0 165849 5753 86 "Coui"
"3346139" "Shom" 32 "Fcel" 147 "Pcad" 0 0 0 14 131813 0 0 0 0 1 20105 14 11 20 52863 0 0 0 3 131813 2 120043 1 11770 0 0 0 0 0 0 4 1 0 270249 126828 0 "Coui"
"3901483" "Shom" 33 "Fcel" 162 "Pcad" 0 0 0 22 16302 0 0 0 0 1 8192 19 14 47 0 0 0 0 1 16302 0 0 1 16302 0 0 0 0 0 0 23 2 0 16327 0 0 "Coui"
"5023873" "Sfem" 43 "Fmar" 18 "Pemp" 0 0 1 0 0 57 100147 147 1e+05 3 15712 0 11 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 4 0 47 "Coui"
"5044500" "Shom" 28 "Fcel" 10 "Pcad" 0 0 0 0 100 0 345 345 0 1 -91 0 11 2 24500 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 0 1 0 100 0 3 "Coui"
"5064228" "Shom" 48 "Fdiv" 3 "Pemp" 0 0 0 26 0 0 0 0 0 1 14412 26 14 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 1 0 2455 0 0 "Coui"
"5068163" "Sfem" 41 "Fcel" 1 "Pcad" 0 0 3 80 39700 0 0 0 0 1 10009 80 11 9 4200 0 0 0 1 39700 0 0 1 39700 0 0 0 0 0 0 0 1 0 60098 0 0 "Coui"
"5068673" "Shom" 33 "Fmar" 1 "Pcad" 0 0 0 8 13000 0 2563 2563 0 1 1696 7 11 13 0 0 0 0 1 13000 1 13000 0 0 0 0 0 0 0 0 0 2 0 13000 0 0 "Coui"
"5069492" "Shom" 53 "Fdiv" 1 "Pcad" 0 0 1 8 0 0 0 0 0 1 3412 8 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 24202 0 0 "Coui"
"5069907" "Shom" 37 "Fmar" 1 "Pcad" 0 0 0 0 0 0 40000 40000 0 1 -20000 0 16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 "Coui"
"7534429" "Sfem" 63 "Fmar" 2 "Pcad" 0 0 1 27 30669 0 0 0 0 1 9871 17 18 6 0 0 0 0 1 30669 0 0 1 30669 0 0 0 0 0 0 0 1 0 229729 148060 0 "Coui"
"133439" "Shom" 48 "Fmar" 337 "Pemp" 0 0 3 44 2125 19 584230 0 0 1 13834 44 12 74 69000 584230 2 21986 2 2125 0 0 2 2125 0 0 0 0 0 0 28 2 0 82617 51218 7 "Coui"
"543448" "Sfem" 65 "Fmar" 255 "Part" 0 0 1 71 43714 17 127460 0 127460 1 16348 48 12 26 128300 0 3 156196 2 43714 2 43714 0 0 0 0 0 0 0 0 0 2 0 203805 156196 5 "Coui"
"945822" "Sfem" 62 "Fveu" 386 "Pemp" 0 0 1 5 185076 0 0 0 0 1 1070 5 12 13 0 0 0 0 2 185076 2 185076 0 0 0 0 0 0 0 0 1 1 0 280352 82252 0 "Coui"
"1231284" "Shom" 62 "Fmar" 363 "Pcad" 0 0 2 44 223825 0 0 0 0 1 10837 44 12 48 63500 0 0 0 3 223825 2 192011 1 31814 0 0 0 0 0 0 11 2 0 258851 300 1 "Coui"
"1252382" "Shom" 35 "Fcel" 189 "Pint" 0 0 1 19 19122 30 259057 0 16326 1 5360 19 12 33 0 242731 0 0 3 19122 2 18841 1 281 0 0 0 0 0 0 10 2 0 21026 0 29 "Coui"
"1334438" "Shom" 46 "Fmar" 54 "Pcad" 0 0 2 28 122457 16 306503 0 44406 1 17289 28 12 58 44500 262097 0 0 4 122457 1 42429 2 78960 1 1068 0 0 0 0 18 3 1 185010 62293 1 "Coui"
"1560224" "Shom" 34 "Fcel" 90 "Pemp" 0 0 5 71 22006 1 111923 0 111923 2 14387 67 12 71 0 0 0 0 2 22006 1 6718 1 15288 0 0 0 0 0 0 10 2 1 144070 83549 8 "Coui"
"1740529" "Shom" 44 "Fmar" 282 "Pemp" 0 0 0 23 0 0 99234 41966 0 1 -33676 23 15 36 3400 57268 0 0 1 0 1 0 0 0 0 0 0 0 0 0 11 1 0 200 200 78 "Coui"
"2448202" "Shom" 40 "Fcel" 101 "Pemp" 0 0 3 32 559103 13 69775 0 43724 2 19163 32 12 31 0 26051 2 26153 4 559103 2 479261 2 79842 0 0 0 0 0 0 8 2 0 739540 137863 1 "Coui"
"2454856" "Shom" 54 "Fmar" 113 "Pint" 0 0 0 81 0 0 0 0 0 1 167799 81 15 38 84000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 5 2 220433 0 0 "Coui"
"2850436" "Shom" 53 "Fmar" 63 "Pint" 0 0 1 11 500 53 65874 17110 48764 1 -11896 11 15 25 0 0 0 0 2 500 0 0 2 500 0 0 0 0 0 0 12 2 0 500 0 65 "Coui"
"4004405" "Shom" 34 "Fmar" 144 "Pcad" 0 0 0 171 218353 0 31479 21040 10439 1 -12246 104 12 54 0 0 1 19568 3 218353 1 68353 2 150000 0 0 0 0 0 0 21 3 0 362127 143774 88 "Coui"
"5004401" "Shom" 30 "Fmar" 26 "Pcad" 0 0 0 49 62707 9 146581 15441 131140 1 8682 49 12 30 0 0 0 0 1 62707 0 0 1 62707 0 0 0 0 0 0 7 2 0 62707 0 2 "Coui"
"5013143" "Sfem" 30 "Fcel" 23 "Part" 0 0 5 5 0 0 1261 1261 0 1 505 1 16 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2566 0 4 "Coui"
"5057209" "Shom" 53 "Fmar" 6 "Pcad" 0 0 0 0 0 0 0 0 0 1 -545 0 12 2 117000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 22830 0 22 "Coui"
"5065825" "Shom" 34 "Fuli" 3 "Pint" 0 0 1 31 0 7 46076 46076 0 1 44206 31 12 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 27363 0 0 "Coui"
"5065986" "Shom" 39 "Fmar" 3 "Pcad" 0 0 1 3 0 0 0 0 0 1 4814 3 12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 7113 0 0 "Coui"
"5070242" "Shom" 39 "Fmar" 2 "Pcad" 0 0 0 7 100 0 0 0 0 1 5253 7 12 7 102400 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 0 4 0 20380 0 0 "Coui"
"5070512" "Shom" 38 "Fmar" 1 "Pcad" 0 0 0 15 0 0 0 0 0 1 -171 15 12 27 109788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 3 0 10286 0 20 "Coui"
"5072065" "Shom" 35 "Fmar" 1 "Pcad" 0 0 0 0 100 0 435 435 0 2 -96 0 12 7 10182 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 0 1 0 100 0 5 "Coui"
"7558443" "Shom" 43 "Fmar" 27 "Part" 0 0 1 76 26251 10 396900 0 0 1 84186 0 15 4 0 396900 0 0 1 26251 0 0 1 26251 0 0 0 0 0 0 1 1 0 63017 0 3 "Coui"
